Date,Country,Confirmed,Recovered,Deaths
44262,Turkey,2780417,2623924,29030
44263,Turkey,2793632,2632030,29094
44264,Turkey,2807387,2640669,29160
44265,Turkey,2821943,2649862,29227
44266,Turkey,2835989,2659093,29290
44267,Turkey,2850930,2670273,29356
44268,Turkey,2866012,2685560,29421
44269,Turkey,2879390,2701076,29489
44270,Turkey,2894893,2716969,29552
44271,Turkey,2911642,2734862,29623
44272,Turkey,2930554,2752023,29696
44273,Turkey,2950603,2770638,29777
44274,Turkey,2971633,2788757,29864
44275,Turkey,2992694,2807572,29959
44276,Turkey,3013122,2825187,30061
44277,Turkey,3035338,2844681,30178
44278,Turkey,3061520,2863882,30316
44279,Turkey,3091282,2881643,30462
44280,Turkey,3120013,2900829,30619
44281,Turkey,3149094,2921037,30772
44282,Turkey,3179115,2939929,30923
44283,Turkey,3208173,2957093,31076
44284,Turkey,3240577,2975108,31230
44285,Turkey,3277880,2995033,31385
44286,Turkey,3317182,3014226,31537
44287,Turkey,3357988,3035043,31713
44288,Turkey,3400296,3059462,31892
44289,Turkey,3445052,3082676,32078
44290,Turkey,3487050,3105350,32263
44291,Turkey,3529601,3130977,32456
44292,Turkey,3579185,3159475,32667
44293,Turkey,3633925,3194978,32943
44294,Turkey,3689866,3232892,33201
44295,Turkey,3745657,3268678,33454
44296,Turkey,3798333,3301217,33702
44297,Turkey,3849011,3331411,33939
44298,Turkey,3903573,3372629,34182
44299,Turkey,3962760,3424733,34455
44300,Turkey,4025557,3480146,34734
44301,Turkey,4086957,3535040,35031
44302,Turkey,4150039,3591550,35320
44303,Turkey,4212645,3643734,35608
44304,Turkey,4268447,3687590,35926
44305,Turkey,4323596,3736537,36267
44306,Turkey,4384624,3792129,36613
44307,Turkey,4446591,3844342,36975
44308,Turkey,4501382,3909935,37329
44309,Turkey,4550820,3970111,37672
44310,Turkey,4591416,4022408,38011
44311,Turkey,4629969,4073644,38358
44312,Turkey,4667281,4121671,38711
44313,Turkey,4710582,4167263,39057
44314,Turkey,4751026,4212461,39398
44315,Turkey,4788700,4255714,39737
44316,Turkey,4820591,4323897,40131
44317,Turkey,4849408,4405199,40504
44318,Turkey,4875388,4480381,40844
44319,Turkey,4900121,4515819,41191
44320,Turkey,4929118,4554037,41527
44321,Turkey,4955594,4589501,41883
44322,Turkey,4977982,4626799,42187
44323,Turkey,4998089,4662328,42465
44324,Turkey,5016141,4691224,42746
44325,Turkey,5031332,4716918,43029
44326,Turkey,5044936,4743871,43311
44327,Turkey,5059433,4766124,43589
44328,Turkey,5072462,4801291,43821
44329,Turkey,5083996,4856763,44059
44330,Turkey,5095390,4894024,44301
44331,Turkey,5106862,4932838,44537
44332,Turkey,5117374,4947256,44760
44333,Turkey,5127548,4961120,44983
