"Date","Confirmed","Recovered","Deaths","Active"
"9/16/2020","296391","262602","7249","26540"
"9/17/2020","298039","263745","7315","26979"
"9/18/2020","299810","264805","7377","27628"
"9/19/2020","301348","266117","7445","27786"
"9/20/2020","302867","267233","7506","28128"
"9/21/2020","304610","268435","7574","28601"
"9/22/2020","306302","269696","7639","28967"
"9/23/2020","308069","270723","7711","29635"
"9/24/2020","309790","271964","7785","30041"
"9/25/2020","311455","273282","7858","30315"
"9/26/2020","312966","274514","7929","30523"
"9/27/2020","314433","275630","7997","30806"
"9/28/2020","315845","277052","8062","30731"
"9/29/2020","317272","278504","8130","30638"
"9/30/2020","318663","279749","8195","30719"
"10/1/2020","320070","281151","8262","30657"
"10/2/2020","321512","282657","8325","30530"
"10/3/2020","323014","283868","8384","30762"
"10/4/2020","324443","285050","8441","30952"
"10/5/2020","326046","286370","8498","31178"
"10/6/2020","327557","287599","8553","31405"
"10/7/2020","329138","288954","8609","31575"
"10/8/2020","330753","290352","8667","31734"
"10/9/2020","332382","291754","8722","31906"
"10/10/2020","334031","293145","8778","32108"
"10/11/2020","335533","294357","8837","32339"
"10/12/2020","337147","295658","8895","32594"
"10/13/2020","338779","296972","8957","32850"
"10/14/2020","340450","298368","9014","33068"
"10/15/2020","342143","299679","9080","33384"
"10/16/2020","343955","301098","9153","33704"
"10/17/2020","345678","302499","9224","33955"
"10/18/2020","347493","304003","9296","34194"
"10/19/2020","349519","305427","9371","34721"
"10/20/2020","351413","306939","9445","35029"
"10/21/2020","353426","308446","9513","35467"
"10/22/2020","355528","310027","9584","35917"
"10/23/2020","357693","311520","9658","36515"
"10/24/2020","359784","313093","9727","36964"
"10/25/2020","361801","314390","9799","37612"
"10/26/2020","363999","316008","9874","38117"
"10/27/2020","366208","317519","9950","38739"
"10/28/2020","368513","319181","10027","39305"
"10/29/2020","370832","320762","10099","39971"
"10/30/2020","373154","322465","10177","40512"
"10/31/2020","375367","323971","10252","41144"
"11/1/2020","377473","325486","10326","41661"
"11/2/2020","379775","327007","10402","42366"
"11/3/2020","382118","328824","10481","42813"
"11/4/2020","384509","330665","10558","43286"
"11/5/2020","386820","332379","10639","43802"
"11/6/2020","389256","334293","10722","44241"
"11/7/2020","391739","336221","10803","44715"
"11/8/2020","394255","338239","10887","45129"
"11/9/2020","396831","340286","10972","45573"
"11/10/2020","399360","342501","11059","45800"
"11/11/2020","402053","344613","11145","46295"
"11/12/2020","404894","346794","11233","46867"
"11/13/2020","407939","348804","11326","47809"
"11/14/2020","411055","351102","11418","48535"
"11/15/2020","414278","353663","11507","49108"
"11/16/2020","417594","356375","11601","49618"
"11/17/2020","421413","359063","11704","50646"
"11/18/2020","425628","361655","11820","52153"
"11/19/2020","430170","364573","11943","53654"
"11/20/2020","435273","367592","12084","55597"
